# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
  464    598.33    199.38    20.032    18.942       97.07      265.09
  465    321.21    200.34    19.907    18.807      108.99      300.16
  466    417.47    202.56    19.672    18.763      135.26      312.56
  467    643.42    202.02    20.033    19.480       97.01      161.41
  468    670.39    201.36    20.376    19.363       70.76      179.79
  469    494.41    202.12    19.763    18.873      124.37      282.27
  470    625.50    202.45    17.622    16.710      893.81     2069.86
  471    751.75    202.78    20.665    19.452       54.19      165.59
  472    235.38    203.70    22.922    20.642        6.78       55.35
  473    255.02    203.78    19.946    19.097      105.12      229.66
  474    476.98    203.19    19.638    18.768      139.58      311.13
  475    677.10    203.45    20.323    19.440       74.25      167.47
  476    171.39    204.05    20.162    19.180       86.11      212.73
  477    487.79    204.95    20.300    19.747       75.89      126.27
  478    739.30    204.85    22.648    20.365        8.73       71.43
  479    134.01    205.20    20.565    19.530       59.40      154.15
  480    142.54    205.88    20.305    19.314       75.52      188.14
  481    319.64    205.60    20.275    19.052       77.65      239.53
  482    511.68    205.57    21.521    19.933       24.64      106.36
  483    634.52    205.67    20.858    20.165       45.39       85.88
  484    690.01    206.40    19.508    18.328      157.34      466.25
  485    177.25    207.13    19.837    18.953      116.23      262.22
  486    351.03    207.73    20.025    19.087       97.72      231.82
  487    398.97    207.57    21.508    19.821       24.93      117.96
  488    768.65    207.64    19.689    18.681      133.14      337.02
  489     95.02    208.46    20.638    20.240       55.55       80.13
  490    346.01    208.52    19.961    18.898      103.67      275.84
  491    376.17    208.84    19.434    18.429      168.36      424.87
  492    590.14    208.65    20.871    19.457       44.85      164.93
  493    662.77    208.75    19.573    18.316      148.25      471.45
  494    188.61    209.54    19.582    18.540      146.90      383.76
  495    384.72    209.29    19.296    18.270      191.31      491.87
  496    459.42    210.50    18.438    16.947      421.38     1664.41
  497    515.29    210.96    22.080    20.354       14.72       72.17
  498    559.27    210.47    19.362    18.270      180.04      492.02
  499    784.00    210.09    19.495    18.368      159.21      449.69
  500     67.86    211.46    19.488    18.795      160.25      303.28
  501    224.05    211.32    18.785    17.312      306.21     1188.75
  502    392.26    211.85    19.869    19.493      112.80      159.46
  503    474.61    211.46    18.589    17.272      366.67     1233.26
  504     85.22    213.04    19.629    19.031      140.73      244.03
  505    206.67    212.77    20.423    19.725       67.71      128.79
  506    276.13    212.92    20.188    19.152       84.12      218.37
  507    669.97    212.15    21.627    20.111       22.34       90.28
  508    747.82    212.51    20.742    19.602       50.50      144.22
