# ID  X  Y  MAGNITUDE  FLUX
  515    121.91    178.60    19.302      190.20
  516    307.27    181.26    20.512       62.38
  517    415.78    178.66    21.611       22.67
  518    490.53    178.77    20.209       82.50
  519    544.27    178.87    20.349       72.54
  520    228.28    180.35    21.027       38.82
  521    573.35    179.76    20.066       94.12
  522    612.18    180.37    20.956       41.46
  523     77.22    180.94    20.499       63.14
  524    167.82    180.66    19.857      114.04
  525    206.94    180.91    20.991       40.14
  526    341.12    180.76    20.647       55.13
  527    592.81    181.34    21.736       20.21
  528     69.52    182.00    19.705      131.20
  530    495.53    182.26    20.103       90.93
  531    586.59    182.40    19.382      176.76
  532    773.04    181.70    23.534        3.86
  533    219.12    183.29    24.086        2.32
  534    402.96    183.37    16.811     1886.34
  535    512.01    182.69    20.582       58.51
  536    556.41    183.50    20.219       81.70
  537    791.79    183.44    20.479       64.35
  538    377.40    184.25    19.608      143.42
  539    383.25    183.52    19.850      114.86
  540    671.91    184.11    19.231      203.02
  541    444.44    184.63    21.297       30.28
  542    693.90    184.70    20.263       78.47
  543    715.30    187.10    19.540      152.69
  544    727.70    184.76    21.482       25.55
  545    103.24    186.34    20.998       39.88
  546    224.53    185.90    20.982       40.47
  547    276.46    185.50    18.037      609.60
  548    470.45    185.77    19.842      115.63
  549    525.96    186.23    17.579      929.69
  550    614.72    186.37    20.496       63.32
  551    634.12    185.54    20.790       48.32
  552    765.62    186.01    23.766        3.12
  553    285.36    187.14    21.028       38.79
  554    301.13    187.18    18.431      424.33
  555    324.19    187.34    20.604       57.32
  556    430.18    187.25    25.619        0.57
  557    600.02    186.93    22.302       12.00
  558    678.94    187.26    21.204       32.99
  559    715.02    187.11    19.585      146.61
  560    780.23    189.55    19.107      227.68
  561    389.87    188.16    20.543       60.64
  562    721.73    187.65    20.004       99.59
  563    188.39    188.82    19.271      195.64
  564    254.07    188.87    19.923      107.34
  565    571.58    189.02    18.143      553.32
  566    146.84    190.34    19.656      137.29
  567    293.20    190.40    20.622       56.39
  568    479.90    189.61    19.519      155.79
  569    780.21    188.98    19.141      220.65
  570    354.43    190.72    20.921       42.82
  571    539.16    190.72    20.235       80.54
  572    549.69    190.87    19.804      119.84
  573    652.07    190.94    19.496      159.04
  574    281.05    191.83    21.454       26.21
  575    447.72    192.12    19.419      170.77
  576    383.23    193.12    19.746      126.41
  577    524.88    192.75    20.215       82.07
  578    615.01    193.34    19.445      166.73
  579    629.91    192.90    23.081        5.86
  580    742.71    192.95    20.037       96.61
  581    230.13    194.12    21.168       34.11
  582    402.20    194.21    20.002       99.80
  583    432.67    194.36    19.972      102.57
  584    657.66    194.27    20.356       72.03
  585    669.03    194.09    19.476      162.05
  586    691.80    193.93    22.767        7.82
  587    441.14    195.46    20.938       42.16
  588    516.63    194.60    21.410       27.28
  589    563.89    195.01    23.782        3.07
  590    576.97    194.99    19.228      203.69
  591     96.63    195.73    20.671       53.90
  592    511.72    195.98    21.867       17.91
  593    577.82    194.98    19.226      204.03
  594    590.10    195.94    20.323       74.28
  595     55.60    196.74    19.655      137.35
  596    134.21    197.43    21.309       29.94
  597    301.08    197.03    19.694      132.57
  598    421.63    196.68    19.652      137.81
